loan_status,loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age
Y,479474,8,D,40,Rent,7188229,50
Y,298087,8,B,49,Own,7178740,31
Y,184315,11,A,15,Mortgage,4717284,45
Y,597132,12,A,13,Rent,1558149,63
Y,108041,12,D,9,Rent,6840879,39
Y,829363,10,D,21,Mortgage,11762077,25
Y,891189,10,C,15,Rent,10989739,45
Y,49648,9,C,35,Own,4509035,59
Y,872387,9,D,21,Mortgage,8498708,26
Y,509183,8,A,25,Mortgage,9464163,51
Y,329014,11,A,42,Mortgage,8410321,41
Y,379590,8,A,43,Own,11990715,48
Y,458060,14,C,33,Rent,4025346,28
Y,176037,9,D,23,Mortgage,548297,37
Y,567931,9,A,7,Mortgage,9661381,35
Y,763103,8,B,39,Own,10000715,42
Y,14076,11,C,9,Rent,10530895,64
Y,218101,8,C,48,Mortgage,4524607,42
Y,270218,13,B,30,Mortgage,5349767,45
Y,465035,12,D,12,Rent,6765608,45
N,804190,7,B,7,Rent,5054408,48
N,563729,9,C,36,Rent,10255550,42
N,748733,7,D,32,Own,12470047,38
N,394121,13,A,46,Own,6231914,58
N,942211,8,B,35,Mortgage,6450857,42
N,150431,13,C,21,Mortgage,1081335,36
N,114307,10,D,46,Rent,4008362,59
N,493198,12,D,33,Own,3547803,35
N,181452,12,D,49,Rent,10856056,27
N,128753,10,D,28,Rent,4218567,64
N,660054,13,B,7,Own,3853261,29
N,816458,12,D,55,Rent,10741723,46
N,587869,14,A,25,Mortgage,4912206,60
N,235339,14,C,21,Rent,12098649,27
N,20914,7,D,32,Mortgage,9363190,65
N,881224,10,D,54,Own,14570818,50
N,525664,7,C,19,Rent,3714135,64
N,673598,8,C,18,Rent,10497434,34
N,611908,12,C,20,Own,10740010,42
N,748090,13,B,26,Mortgage,13237114,28
N,650034,10,C,44,Rent,10775268,42
N,237940,9,D,54,Rent,2641592,62
N,775308,13,B,42,Rent,13668374,64
N,799628,9,B,37,Own,942291,37
N,946836,9,B,39,Own,3549711,49
N,862177,11,D,36,Rent,5240025,31
N,673217,13,B,10,Rent,10906911,38
N,868493,13,C,34,Rent,2043657,44
N,506895,11,C,55,Own,10635232,47
N,880808,7,B,33,Rent,8494650,42
N,596534,14,C,49,Own,8249134,40
N,736569,13,D,28,Own,13384864,62
N,900780,8,C,17,Rent,14080771,33
N,794505,8,C,36,Own,1065861,64
N,127331,11,B,33,Rent,11581547,38
N,432797,8,D,18,Mortgage,7753027,58
N,395735,9,A,34,Mortgage,428406,60
N,769417,12,C,48,Own,8497211,57
N,465601,8,A,23,Own,3459233,33
N,125642,10,A,27,Mortgage,6835610,62
N,77370,11,B,24,Rent,3520703,40
N,432630,9,D,52,Own,11342524,62
N,433542,13,C,34,Own,13186260,61
N,505325,7,B,42,Own,12619273,59
N,222214,14,D,33,Own,7810173,37
N,568763,7,C,11,Own,1491947,57
N,283482,12,A,9,Own,7808807,34
N,435761,13,A,17,Own,6967833,30
N,932150,9,C,11,Own,6590948,35
N,232177,7,C,46,Own,9143749,31
N,868195,10,A,21,Mortgage,14667574,28
N,394971,12,D,17,Rent,7142316,33
N,133798,12,A,31,Mortgage,6552244,28
N,267801,12,A,47,Mortgage,12363659,57
N,455264,12,D,18,Own,4211167,61
N,508186,8,C,28,Rent,10331272,64
N,619779,10,B,48,Mortgage,2016226,26
N,216271,12,C,54,Rent,6809477,59
N,518172,8,B,47,Rent,3810834,48
N,400589,11,D,55,Rent,10223160,27
N,113714,12,B,50,Own,14405004,32
N,768214,10,B,45,Own,11531068,30
N,127228,14,D,45,Rent,10803838,58
N,931876,8,A,16,Mortgage,1619249,54
N,452487,13,A,30,Own,789166,35
N,452360,10,A,16,Mortgage,11165499,62
N,941746,7,B,28,Mortgage,2691281,29
N,37319,9,A,15,Rent,9351436,37
N,758098,13,D,10,Own,2253802,60
N,334233,10,A,29,Mortgage,6400480,42
N,912934,14,A,33,Mortgage,9498926,65
N,312615,11,D,11,Mortgage,7786359,50
N,745301,13,A,31,Rent,11969330,46
N,518703,12,D,51,Rent,10825347,44
N,567665,8,C,36,Own,6792075,51
N,100645,8,D,7,Rent,7959432,26
N,133595,13,B,12,Rent,6876436,49
N,829947,7,C,29,Rent,1522117,39
N,65160,9,A,28,Mortgage,8526806,47
N,734015,9,B,37,Mortgage,7508161,56
N,751415,11,C,14,Mortgage,7602434,53
N,286532,10,D,38,Own,3696187,38
N,662371,12,A,5,Mortgage,5381140,59
N,217320,14,C,53,Rent,4130504,44
N,590687,10,B,42,Rent,6905871,46
N,35021,12,B,39,Mortgage,199568,55
N,823736,12,C,25,Own,3799506,31
